,Video_Title,Published_date,Views,Likes,Comments,Month
0,Complete Git and GitHub Tutorial for Beginners,8/24/2023,126935,6964,759,Aug
1,QNA Session with Shradha Ma'am | Delta 2.0 | @shradhaKD,8/21/2023,70825,3558,712,Aug
2,SQL - Complete Course in 3 Hours | SQL One Shot using MySQL,8/18/2023,468840,16217,1229,Aug
3,Bringing Complete WEB Development Course | in 4.5 Months | DELTA 2.0,8/15/2023,352757,14911,2137,Aug
4,Binary Search Algorithm - Simply Explained,8/8/2023,549008,49298,220,Aug
5,Buying a Laptop | 3 Things to know | @ApnaCollegeOfficial,8/3/2023,1583855,136498,785,Aug
6,Big Announcement : New Chapter of my Life  | Click here ⭐️@shradhaKD⭐️,8/1/2023,191246,6790,477,Aug
7,Top 7 Highest Paying Tech Jobs | for Coders & Engineers,7/31/2023,294003,13536,711,Jul
8,Microsoft Placement Questions 2023🔥 | Complete Solution | On-Campus,7/28/2023,90876,3745,264,Jul
9,How many projects should we add in Resume?,7/24/2023,261967,29798,133,Jul
10,How many Coding languages needed for Internship/Placement as Software Engineer in Top Companies?,7/23/2023,487031,56901,196,Jul
11,10 Tips for all College Students - by Shradha Khapra,7/20/2023,352811,21008,923,Jul
12,What is Cool Off period in Tech? Software Engineering Internship & Placements,7/15/2023,408159,41554,147,Jul
13,Threads vs Twitter 🔥 | Which one is better for us?,7/14/2023,119729,5484,378,Jul
14,Do this in your college!,7/10/2023,672021,68847,331,Jul
15,How I would Code if I get back in 1st year of College? Software Development Placement | RoadMap,7/8/2023,446258,28824,1677,Jul
16,"Are Private Colleges Good? | Jobs, Career - Honest Advice",7/5/2023,330645,16831,1254,Jul
17,Do not Self Reject!,7/2/2023,235648,27516,128,Jul
18,Building AMAZON Clone for Beginners | Project using HTML & CSS,6/21/2023,666178,18369,994,Jun
19,College Placement in India | 10 Mistakes to Avoid,6/16/2023,174585,9887,473,Jun
20,Bringing Complete Placement Preparation Course | in 3.5 Months | Alpha 5.0,6/10/2023,443709,16444,1724,Jun
21,How this girl from a Private College cracked her first company? | Student of Alpha Batch,6/9/2023,165860,5715,490,Jun
22,Get Placement Ready - Big Announcement for all Coders❤️,6/6/2023,178930,7400,1016,Jun
23,"CSS Tutorial for Beginners | Complete CSS with Project, Notes & Code",6/4/2023,1855207,39019,3404,Jun
24,First SONG❤️ by @ApnaCollegeOfficial  for all College student - Delta Song,5/30/2023,379657,26652,1066,May
25,QnA session by @AmanDhattarwal  of Delta | Major Queries,5/25/2023,76493,3256,605,May
26,DELTA is now going International | Good News | @ApnaCollegeOfficial,5/24/2023,75545,3289,594,May
27,Big Launch : We are bringing DELTA🔥❤️,5/21/2023,403445,21462,2766,May
28,We are launching DELTA - Trailer❤️ | 21st May at 8:30PM,5/20/2023,162225,6898,535,May
29,How to make an Impressive LinkedIn Profile?,5/16/2023,864124,74488,210,May
30,What are HFTs?,5/15/2023,657206,58127,205,May
31,Top 10 MCA Colleges in India,5/13/2023,161935,5025,785,May
32,How to become a UI UX Designer?,5/11/2023,594793,57675,241,May
33,ChatGPT Tutorial - for all College students & Coders,5/9/2023,1449593,35764,789,May
34,How to be a Frontend Developer?,5/6/2023,524882,49920,209,May
35,How to be a backend Developer?,5/5/2023,687340,67192,213,May
36,Tutorial Hell in Programming,5/4/2023,353297,48526,119,May
37,Government Internship Scheme for College Students,5/3/2023,452006,60958,208,May
38,All about IISc College | Indian Institute of Science - Better than IITs?,5/2/2023,306863,7109,698,May
39,Skills all College Freshers should Build in 2023,4/30/2023,745236,108809,279,Apr
40,3 Websites for College Students,4/28/2023,549323,87448,109,Apr
41,"NSUT : My College | All about NSUT/NSIT - College Life, Placements, Hostel",4/27/2023,154574,3573,475,Apr
42,Online and Distance Learning Course - Big News!,4/26/2023,280717,20475,237,Apr
43,One Tip for all College students,4/25/2023,536606,52837,128,Apr
44,5 AI tools for all Coders🙌🏻,4/24/2023,509254,72617,128,Apr
45,This was my first seminar in Punjab❤️- Thapar University,4/23/2023,390249,29421,129,Apr
46,BITS Pilani - Is it the Best Private College for Engineering? | College Review,4/21/2023,275851,5402,674,Apr
47,Rust being used in Ransomware,4/19/2023,621995,58133,216,Apr
48,IGDTUW College Review InShort,4/18/2023,142392,9484,307,Apr
49,Should you do BCA in 2023? All about BCA,4/16/2023,1089517,49937,3675,Apr
50,One Thing to Increase your Confidence,4/14/2023,216082,27487,101,Apr
51,How to find Internships with no skills?,4/11/2023,345052,40401,134,Apr
52,Java or C++ or Python | Which language is best for Placements?,4/10/2023,879859,32063,1524,Apr
53,3 Mistakes to Avoid as a Coder,4/9/2023,582055,63385,195,Apr
54,What is DevOps? DevOps Explained | Simplest Explanation in Hindi,4/6/2023,335385,13428,777,Apr
55,Should you do Competitive Coding in 2023? for all Coders,4/4/2023,218307,9056,397,Apr
56,Intuit CTC Breakdown,4/3/2023,250161,22470,344,Apr
57,How did he got Internship at Google International in First year? Alpha 1.0 student,3/31/2023,267381,9898,529,Mar
58,Big Reveal - Get Placement Ready with 4.0! |,3/27/2023,320045,12631,1702,Mar
59,Get Placement Ready - Big Announcement for all Coders❤️,3/24/2023,336291,15128,1017,Mar
60,Amazon CTC Breakdown,3/23/2023,821234,60106,216,Mar
61,How to Score More in College Exams? 5 Mistakes to avoid,3/21/2023,362614,19547,675,Mar
62,How to monetize Open Source?,3/20/2023,222841,13074,83,Mar
63,MNIT Jaipur College Review | InShort,3/17/2023,266264,19021,629,Mar
64,IIIT Allahabad College Review | In Short,3/15/2023,408293,31581,782,Mar
65,Shradha Didi invited at Microsoft Office | Open Source Day Seminar,3/13/2023,1319116,93356,192,Mar
66,Discipline & Hardwork will beat anything in the world🔥,3/11/2023,886550,91241,226,Mar
67,Are you getting bored from Coding? 5 Tips to enjoy Coding,3/9/2023,320739,15904,694,Mar
68,Skills to build in 2023,3/6/2023,843966,112717,254,Mar
69,A message for all students❤️,3/5/2023,700857,76936,405,Mar
70,Software Engineer without BTech? | NetApp - Student Interview,3/4/2023,146487,5065,506,Mar
71,Top 10 Exams for Engineering Colleges,2/28/2023,1445817,111217,598,Feb
72,Top 5 IITs of India | Oldest IITs of India,2/25/2023,328834,23818,452,Feb
73,IIT Kanpur College Review InShort,2/24/2023,428753,33115,610,Feb
74,How to Prepare for Placements & Internships in 4 months?,2/23/2023,629698,32703,931,Feb
75,Jadavpur University College Review Inshort,2/20/2023,797728,68578,774,Feb
76,NIT Trichy College Review InShort,2/17/2023,273473,20470,707,Feb
77,How this student got Internship of 1.5Lakh/Month?,2/14/2023,276468,6270,418,Feb
78,Meeting my College Juniors❤️,2/12/2023,1924801,178158,536,Feb
79,BITS Pilani College Review | In Short,2/11/2023,1519527,96043,1317,Feb
80,NIT Warangal College Review In Short,2/10/2023,260919,21174,677,Feb
81,IIT Bombay College Review in Short,2/8/2023,695578,67721,1089,Feb
82,IIT Madras College Review in Short,2/4/2023,471136,45524,999,Feb
83,Seminar at NIT Agartala by Shradha Didi @ApnaCollegeOfficial,2/2/2023,2751341,211704,745,Feb
84,Do you have any Questions for me? Interview Qs,1/31/2023,1088777,122991,228,Jan
85,Seminar in DU by Shradha didi @ApnaCollegeOfficial,1/28/2023,1713964,131640,432,Jan
86,Must Watch : Surprise Honest Talk | Republic Day Special,1/26/2023,189618,10158,673,Jan
87,IIT Delhi | College Review In Short🔥,1/24/2023,967113,89552,282,Jan
88,How this student got Internship of Rs70K/month?,1/23/2023,583581,16099,673,Jan
89,What do Software Engineers do?,1/22/2023,571513,56386,120,Jan
90,"Ranks for IITs, NITs & IIITs?",1/20/2023,352809,32686,302,Jan
91,3 Things I learnt from Microsoft,1/19/2023,628929,73733,129,Jan
92,STAR Method of Answering in Interviews,1/17/2023,300670,32994,82,Jan
93,3 Mistakes to avoid in Interviews | 2023,1/14/2023,1035949,113006,144,Jan
94,Graph Data Structure | Tutorial for Graphs in Data Structures,1/13/2023,394405,8986,564,Jan
95,How to Start Coding in 2023? Learn Programming for Beginners,1/12/2023,1926871,86743,2705,Jan
96,Why do you want to join us? Interview Question #7,1/10/2023,350800,42775,158,Jan
97,Why should we hire you? Interview Question #6,1/9/2023,1360943,152956,450,Jan
98,What is your Strength? Interview Question #5,1/6/2023,607981,70165,203,Jan
99,How to say I don't know in Interviews | Interview Qs #4,1/4/2023,4012372,404206,1148,Jan
100,Can you become Software Developer without Btech? | Bsc/MCA student | Alpha Course Review,1/3/2023,398656,14569,1114,Jan
101,Alpha Course Review | How is Alpha batch? Placement Stories | @ApnaCollegeOfficial,1/1/2023,134940,5934,451,Jan
102,Don't miss this -  Year End Surprise 🔥 | for all Coders | Happy New Year to you all ❤️,12/31/2022,131068,9153,605,Dec
103,Biggest Surprise for all Coders | New Office 🔥|  Launching Alpha 3.0 & more | @AmanDhattarwal,12/29/2022,940292,29800,1981,Dec
104,What's coming in 2023? Big Announcement for all Coders❤️,12/25/2022,299190,15704,1375,Dec
105,Tell me your weakness | Interview Qs #3,12/23/2022,1640464,174053,284,Dec
106,True Package of Amazon SDE1 | Software Engineer,12/21/2022,223693,8054,579,Dec
107,Tell me something not mentioned in Resume | Interview Question #2,12/20/2022,772247,87786,164,Dec
108,Did you know why apps do this?,12/19/2022,1800246,155422,795,Dec
109,Puzzles for Software Engineers | Google #24,12/18/2022,405454,29492,436,Dec
110,Tell me about yourself | Interview Question #1,12/17/2022,7166083,690795,784,Dec
111,How to apply for Off-campus Internships? For College Students,12/14/2022,393029,20117,461,Dec
112,Puzzles for Software Engineers | MakeMyTrip #23,12/13/2022,416961,27587,252,Dec
113,Puzzles for Software Engineers | #22,12/11/2022,298966,21957,243,Dec
114,Puzzles for Software Engineers | #21,12/10/2022,1918909,90873,2550,Dec
115,Off-campus Placements/ Internships | 3 Secret Sauces!,12/9/2022,161089,9570,324,Dec
116,Puzzles for Software Engineers | Google #20,12/7/2022,267410,21096,195,Dec
117,Trie Data Structure | Java DSA Course,12/6/2022,112541,2601,229,Dec
118,Puzzles for Software Engineers | Intuit #19,12/5/2022,473578,33638,466,Dec
119,Are College marks Really Important ? How much GPA is enough ?,12/4/2022,168971,8613,434,Dec
120,Puzzles for Software Engineers | Amazon #18,12/3/2022,613298,50094,713,Dec
121,Puzzles for Software Engineers #17 | for students,12/1/2022,7949154,419343,12428,Dec
122,@ApnaCollegeOfficial   3 Million Subscribers Special🔥 | ft. @AmanDhattarwal,11/30/2022,320449,18386,1144,Nov
123,Puzzles for Software Engineers | Microsoft #16,11/27/2022,1551043,103508,2554,Nov
124,Puzzles for Software Engineers | Hitachi #15,11/26/2022,950942,59433,1368,Nov
125,Why are Companies Laying off Employees?,11/25/2022,567779,22025,770,Nov
126,What to do in College 3rd year? | Software Engineering Roadmap,11/24/2022,216645,11449,432,Nov
127,Hashing in Java | One Shot | 5 Best Questions,11/23/2022,92156,1879,155,Nov
128,Puzzles for Software Engineers | Apple #14,11/22/2022,363899,31612,288,Nov
129,3 Resume Mistakes you must avoid | Why is your resume getting Rejected?,11/21/2022,594307,20250,335,Nov
130,Puzzles for Software Engineers | Google #13,11/20/2022,2559913,163685,4187,Nov
131,Coding Technologies to learn in College🔥,11/19/2022,402466,24034,846,Nov
132,Puzzles for Software Engineers | Google #12,11/18/2022,337832,29007,715,Nov
133,Puzzles for Software Engineers | Microsoft #11,11/17/2022,1618074,87201,1584,Nov
134,3 Things to look for when buying a Laptop,11/16/2022,1822156,201407,756,Nov
135,Puzzles for Software Engineers | Google #10,11/14/2022,11857772,696141,17940,Nov
136,Off-campus Placement 1 Crore+ Package | FAANG Off Campus | Youtube Student Interview,11/13/2022,287126,13752,570,Nov
137,Why are Layoffs happening?,11/10/2022,387071,32354,406,Nov
138,5 Websites for Freelancing,11/8/2022,863175,97588,161,Nov
139,HashMap Implementation in Java | HashMap | Java with DSA,11/7/2022,147164,3642,336,Nov
140,Tech related Job without Coding,11/7/2022,824113,76274,451,Nov
141,Google Managers say Certificates ...,11/4/2022,472777,59951,239,Nov
142,5 Easiest Coding Language to learn (my opinion),11/3/2022,1340241,158646,465,Nov
143,Tier 3 to Tech Company | Paid his college fee | Alpha student | Review,11/1/2022,195877,11851,826,Nov
144,Is English Compulsory for Coding Interviews? Software Engineers,10/26/2022,1061047,117634,355,Oct
145,Happy Diwali to you and your family | Diwali Dhamaka ❤️,10/24/2022,109759,6747,607,Oct
146,Puzzles for Software Engineers | Amazon #9,10/21/2022,407137,34535,856,Oct
147,Bullet Bike Prize | Gave him a Surprise | Keep Working towards your Goals,10/19/2022,245409,9730,502,Oct
148,Can Tier2/3 College students get good Placements? Indian Package,10/18/2022,125473,6260,434,Oct
149,"Mujhe Nahi Pata, Mujhse mat pucho na | Alpha❤️ | Not an Educational Video",10/17/2022,408475,18568,632,Oct
150,Mechanical Branch to Tech Placement | Alpha Interview | @ApnaCollegeOfficial,10/14/2022,222552,10908,906,Oct
151,"Big Revolution | Placement ho to Alpha, nahi to course to college bhi karate hai |",10/12/2022,785342,42096,3149,Oct
152,Kaash ye humne pehle kia hota | Big Reveal | India's Biggest Problem,10/11/2022,192593,9236,475,Oct
153,Puzzles for Software Engineers | Microsoft #8,10/9/2022,1118168,82076,1437,Oct
154,What is 2.0? | Big Announcement for you all Coders❤️,10/7/2022,466661,28255,1726,Oct
155,Puzzles for Software Engineers | Bloomberg #7,10/6/2022,700534,55240,2292,Oct
156,What happened at Airport ? Happy Dussehra 🔥,10/5/2022,1261352,73688,508,Oct
157,Puzzles for Software Engineers | Amazon #6,10/3/2022,2376223,164812,5006,Oct
158,Puzzles for Software Engineers | Google #5,10/1/2022,9099966,465925,13212,Oct
159,Puzzles for Software Engineers | Amazon #4,9/30/2022,8211222,459742,20286,Sep
160,Puzzles for Software Engineers | Google #3,9/29/2022,7978388,368355,28632,Sep
161,Puzzles for Software Engineers | Microsoft #2,9/27/2022,2666530,145028,2596,Sep
162,Puzzles for Software Engineers | Apple #1,9/26/2022,5830895,261041,4560,Sep
163,How to Study MORE in LESS TIME 🔥 | 5 Principles | for students,9/24/2022,6677588,306852,4454,Sep
164,Can we control things with our brain? Brain Computer Interfacing,9/21/2022,718952,79573,357,Sep
165,New Jobs because of Automation,9/19/2022,693743,64008,375,Sep
166,What is sunk cost fallacy?,9/18/2022,681916,53020,240,Sep
167,Magic or Myth? The Golden Ratio | Fibonacci,9/17/2022,217337,15295,702,Sep
168,What is Negative Code?,9/16/2022,807982,82076,220,Sep
169,What is the Merge? In Hindi,9/13/2022,452477,43853,208,Sep
170,What should you do in 2nd year of college? 2nd Year Roadmap,9/10/2022,395478,22458,1164,Sep
171,5 Skills you need for Interviews |  @ApnaCollegeOfficial,9/9/2022,816017,92448,278,Sep
172,3 Major Technologies that failed in last 10 years,9/7/2022,1485139,101701,156,Sep
173,How to take Better Decisions? 3 Tips,9/4/2022,746702,83739,373,Sep
174,Watch this before you start Coding! | 10 Tips for Coders,9/3/2022,1533708,73004,1937,Sep
175,How to Balance College Life? Is Multi-tasking good?,9/1/2022,421352,58078,218,Sep
176,What to do in College? 1st Year RoadMap,8/31/2022,1197244,69870,2562,Aug
177,Should I pay for an Internship? For College Students,8/30/2022,356708,36793,187,Aug
178,Tech Companies that got Hacked!,8/29/2022,718365,66835,182,Aug
179,"Don't wait for Motivation, lead with Action",8/27/2022,218704,31951,163,Aug
180,3 Best Code Editors for Programmers | Software Engineers,8/26/2022,985901,98050,588,Aug
181,Software Engineer Salary Packages | The Reality of CTC,8/24/2022,4626299,368595,1147,Aug
182,You should know this in College,8/20/2022,480768,55192,261,Aug
183,How to make Notes for Coding? Data Structures & Algorithms,8/18/2022,1049830,48394,1455,Aug
184,How to get the best out of College Life? One Tip,8/16/2022,354013,46453,207,Aug
185,India - The Emerging Technology Leader🔥,8/14/2022,507219,52210,237,Aug
186,Why is your Resume getting Rejected?,8/13/2022,915423,110942,143,Aug
187,Surprise for all - Raksha Bandhan Special ❤️,8/10/2022,618122,34309,1881,Aug
188,3 Reasons why you should have good GPA in Engineering!,8/9/2022,569505,58124,211,Aug
189,3 Benefits of being a College Student | School Student,8/5/2022,2028347,235852,540,Aug
190,HashMap in Java | Hashing | Java Placement Course | Data Structures & Algorithms,8/2/2022,331642,7959,937,Aug
191,Bahut Jageh Hai! | Alpha ❤️ | Not an Educational Video,7/29/2022,985512,36945,1105,Jul
192,Alpha is now going International | Good News | @ApnaCollegeOfficial,7/27/2022,181748,10445,812,Jul
193,Launching Apna Community ❤️ | for all Students,7/25/2022,195280,12718,815,Jul
194,ALPHA Launched 🔥| Aapke Jabardast Response ne Website kari Crash 🔥,7/21/2022,1039375,67771,6665,Jul
195,Teaser | Launching Alpha🔥 : Tomorrow ❤️  | #shorts,7/20/2022,430429,29829,342,Jul
196,3 Tips to grab Internships,7/14/2022,1010173,118967,457,Jul
197,What is SQL? Future Career Scope & Resources,7/12/2022,1092557,40625,1491,Jul
198,Are Coding Certificates Important? AWS Certificates | AWS Certification Guide,7/11/2022,374491,17103,662,Jul
199,My school taught me - Self Appreciation,7/9/2022,463209,55397,294,Jul
200,HashSet in Java | Hashing | Java Placement Course | Data Structures & Algorithms,7/4/2022,219485,5104,489,Jul
201,Is this a good laptop for students? | Unboxing Tech for Students | Infinix INBook X1 Slim,7/1/2022,1748915,64915,3544,Jul
202,Important Learning from Chanakya,6/29/2022,609142,69109,226,Jun
203,One thing you must practice in College!,6/25/2022,526185,57311,249,Jun
204,How do Speed Cameras work?,6/20/2022,4118935,237129,727,Jun
205,What is Amazon Web Services? AWS Explained | Tutorial & Resources,6/18/2022,1035287,22731,823,Jun
206,Software Engineer Promotions | What are the levels of Software Engineers in Companies?,6/16/2022,342344,15622,682,Jun
207,Do this in your Exams!,6/13/2022,1350498,162795,537,Jun
208,Is this a SCAM? Planned Obsolescence!,6/10/2022,4200530,281876,1749,Jun
209,Complete Placement Guide 🔥 | How to study in Last 3 Months? @ApnaCollege,6/9/2022,764951,38534,828,Jun
210,Why do we use QWERTY Keyboards?,6/8/2022,12802972,830153,3879,Jun
211,How to get rid of bad habits?,6/6/2022,675760,65161,832,Jun
212,A Burning Desire is NOT enough without Action.,6/5/2022,604780,72623,432,Jun
213,How Whatsapp Earns ?,6/1/2022,1683333,137153,318,Jun
214,How to write Code in Interviews? | Placement & Internship Edition,5/31/2022,374699,16839,493,May
215,Bloopers - First Time in India in Teaching | Golden Hat-trick,5/29/2022,2936237,207359,859,May
216,Binary Search Trees | BST in One Video | Java Placement Course | Data Structures & Algorithms,5/28/2022,296343,6258,409,May
217,How will 5G network change India?,5/26/2022,1311604,123213,1691,May
218,IPL Live Streaming | How does Online Video Streaming work?,5/25/2022,446754,20434,763,May
219,Was Facebook not Mark Zuckerberg's Idea?,5/23/2022,1345852,139898,489,May
220,How to build Strong Programming Logic? | College Placement & Internships,5/20/2022,719416,33585,1080,May
221,What we CANNOT learn from Technology?,5/18/2022,624784,67854,265,May
222,Can computers create Art?,5/16/2022,377867,38991,214,May
223,Summer Vacation Plans for College Students,5/14/2022,236254,13220,840,May
224,What is your Superpower?,5/12/2022,256759,30104,186,May
225,How to Prepare for Core Placements? | Step by Step | Resume Building,5/10/2022,137029,6429,328,May
226,Biggest Startup Fraud,5/7/2022,3782741,288433,909,May
227,Ab India seekhega Coding ❤️,5/4/2022,26262996,1105410,4331,May
228,3 Tips for Interviews,5/1/2022,849011,95723,180,May
229,Guaranteed Placement DSA Sheet | Tech Placement,4/29/2022,812951,38626,1378,Apr
230,Elon Musk v/s Twitter,4/28/2022,453517,34975,156,Apr
231,How much Coding to learn for Placements? Data Structure & Algorithms,4/27/2022,1557146,67832,1387,Apr
232,"Why do we write ""Hello World""?",4/25/2022,395761,35990,250,Apr
233,China does not use Google,4/23/2022,2408248,193503,538,Apr
234,Weirdest Programming Languages of the World,4/23/2022,857011,70318,373,Apr
235,This 15 year old boy HACKED NASA,4/21/2022,3386683,281478,1258,Apr
236,How to protect your eyes from Mobile/Laptop ?,4/20/2022,3694288,298405,1006,Apr
237,Should you join a Startup in 2022?,4/19/2022,85023,5067,284,Apr
238,Top IT Companies that recruit Engineering Freshers,4/18/2022,725105,56156,223,Apr
239,How to Start Web Development? Complete Roadmap for FullStack Developer | 2022,4/16/2022,2781176,137336,3375,Apr
240,5 Things about Microsoft you didn't know,4/15/2022,654362,59438,237,Apr
241,Top NITs of India & their Placements (2019-2020),4/14/2022,1151568,72975,635,Apr
242,5 Most Expensive NFTs!,4/13/2022,176505,10398,95,Apr
243,7 Best Websites for Internships🔥,4/12/2022,976076,125677,264,Apr
244,Why do you Procrastinate? 5 Steps to BEAT IT.,4/11/2022,641429,45747,1126,Apr
245,How to beat Laziness?,4/10/2022,877081,103007,255,Apr
246,3 Coding Languages for 2022,4/9/2022,3905315,396040,1523,Apr
247,How to make money from Coding? 5 ways to earn without a job or degree,4/8/2022,1515747,77283,949,Apr
248,Why is Coding Important?,4/7/2022,6501371,611116,1438,Apr
249,Why Google was a mistake?,4/5/2022,1569904,125654,169,Apr
250,React Native vs Flutter | Which one should you Learn in 2022 ?,4/4/2022,434583,13736,664,Apr
251,3 Best Websites for College Students,4/3/2022,2079194,218663,224,Apr
252,A brief history of Youtube,4/2/2022,303812,22829,90,Apr
253,Competitive Programming - How to Start? Complete Guide,4/1/2022,430494,24634,693,Apr
254,5 Tricks of Google Search,3/31/2022,11262433,875603,1458,Mar
255,How to become a Blockchain Developer in 2022?  | 🔥 Complete Roadmap + Salary + Tech Stack,3/30/2022,1190669,38928,1628,Mar
256,How to make the Best Time Table? | Time Management for Students,3/29/2022,1246145,68804,1117,Mar
257,Is being Lazy good for you?,3/28/2022,148299,15674,118,Mar
258,3 Mistakes we do while Studying,3/26/2022,1548890,166225,628,Mar
259,HTML Tutorial for Beginners | Complete HTML with Notes & Code,3/22/2022,7963850,203266,10741,Mar
260,Time is NOT Money,3/20/2022,204929,24351,190,Mar
261,One thing we think of many times in our life,3/18/2022,282860,25737,155,Mar
262,How to prepare for Offline College Exams? 5 Life Saving Tips,3/14/2022,275171,18236,557,Mar
263,How to Increase Self Confidence?,3/11/2022,1959393,243453,680,Mar
264,C Language Tutorial for Beginners (with Notes & Practice Questions),3/6/2022,19819495,344902,19293,Mar
265,1 Tip to Manage Stress,3/3/2022,344855,34115,204,Mar
266,Government or Private | What job to do?,2/28/2022,409369,19344,1208,Feb
267,How to Save Money in College?,2/27/2022,565076,49578,527,Feb
268,3 Steps to ACHIEVE MORE in LESS TIME,2/25/2022,539574,60401,158,Feb
269,10 Career Options after BCA in 2022,2/24/2022,1102043,52378,2633,Feb
270,3 Tips for taking Notes,2/22/2022,5770101,457621,1571,Feb
271,One Lesson from Olympic Winners,2/21/2022,340326,42563,278,Feb
272,How to Hack Password?,2/19/2022,4594816,189995,3867,Feb
273,Is Linux better than Windows?,2/18/2022,586281,26143,1379,Feb
274,The 90 Minute Rule for better Sleep!,2/16/2022,4566038,357851,1029,Feb
275,Career Options after Btech/BE in 2022 | 15 Different Paths,2/15/2022,902231,36993,2146,Feb
276,Engineers after Valentines Day❤️,2/14/2022,293339,22276,436,Feb
277,C++ or Java | Which coding language to learn?,2/11/2022,796334,39438,1247,Feb
278,How to join ISRO ? | How to become a Scientist in ISRO? Full Information,2/10/2022,1397448,52546,1488,Feb
